title,description,url,published_date,source
Donald Trump endorses challenger to Republican Texas House Speaker Dade Phelan - The Texas Tribune,Donald Trump endorses challenger to Republican Texas House Speaker Dade Phelan  The Texas Tribune,https://news.google.com/rss/articles/CBMiigFBVV95cUxNSm1WenE1MnpzUFlQb0YyblRKb0k5c2dnTkJMMnFuUmpySktFelk2cktFVXE0OUlzQU41Qy01VENTSF9RdWFQTVZIZGYzcUduM2tFdk1IcWw4emFZU2dsTUQ0bjM5bVJlNWpMeWE1U1pEZEpLVXRxSjFwV2gyRll0Um9PdTNPbXdsVHc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 30 Jan 2024 08:00:00 GMT","{'href': 'https://www.texastribune.org', 'title': 'The Texas Tribune'}"
Canada braces for the possible return of Donald Trump - Chatham House,Canada braces for the possible return of Donald Trump  Chatham House,https://news.google.com/rss/articles/CBMihgFBVV95cUxQUmJwbzhQOE4tNGUzTlhRcTZRd3dLTHkyUXNSM2daNEtqczVtWU5pWTA4SE1tMW9wZGJTWTFnSzBFTXpJOHh5OWhnUEVvUHhLN1FUYkVUU1puWUpnSUxXWFJfbmNCTWxnSTJSZ0s5eDkxdXlYdWNoMTh2Ym5Idk1FTUpPZllWQQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 26 Jan 2024 08:00:00 GMT","{'href': 'https://www.chathamhouse.org', 'title': 'Chatham House'}"
Trump named USI Vice President for Government Affairs and General Counsel - University of Southern Indiana | USI,Trump named USI Vice President for Government Affairs and General Counsel  University of Southern Indiana | USI,https://news.google.com/rss/articles/CBMitgFBVV95cUxNM0NzWjNhdnh6aEo1bWI5enZVNmJzd2otTUhsLWhEbE5wYlpsanZWalVhVTA3V3RmT3RaYkV2QjNxa3d3UG8zd0FRbi1TcGx0akgtWlExUTVWbEJqT2JSclhobG1mdGpDN01nTnIyU2ZObkhEQ2hGVDJ5dmZjSVcxSURaTzlfcHlDd0hva0ltekhQUW5CN3dDWXNUdzNNZ1h4R0pUZi1MaVk0TTBuRnpLUXFYSXAxQQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 02 Jan 2024 08:00:00 GMT","{'href': 'https://www.usi.edu', 'title': 'University of Southern Indiana | USI'}"
How Much Did President Trump Add to the Debt?-2024-01-10 - Committee for a Responsible Federal Budget,How Much Did President Trump Add to the Debt?-2024-01-10  Committee for a Responsible Federal Budget,https://news.google.com/rss/articles/CBMickFVX3lxTE9ORUJzV3RfNmN4WFo4czZKbjlmelUzOXI5VERhdk5UdmwxdmVGUEc5SFluSkJ1eFBHd0wzSDZLV1lacWo0a3IzUFkxNTFfNm9Wck9DckJPdWNhbEt6U3FrTHJ5LWNPU2RBRnFLTEU0YkR2dw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 10 Jan 2024 08:00:00 GMT","{'href': 'https://www.crfb.org', 'title': 'Committee for a Responsible Federal Budget'}"
Haley Campaign Press Release - Haley Calls Out Policy Differences with Trump - The American Presidency Project,Haley Campaign Press Release - Haley Calls Out Policy Differences with Trump  The American Presidency Project,https://news.google.com/rss/articles/CBMitwFBVV95cUxQT2lSQWpMUEJfWjRKdkVzT2Jwa05zVTdoSkNucVYxNUFEME9nc3hTMzhqTWpFWmtWbVM1X0FPTXB6TG1FM3ZnWGl4elFIaHN2S2xFS3VISDFZdHZpQnVicTNVMFR4SWpCVUw4M2dlRkZNQ2hVZU9vLUZQcXVZR0lSNV9DNXRabV9oS3h1SFhENklrMzdJZFB2eThBQ0JKTklXYjdQdDVpQVd0c3VDREJ2d193NThKQVU?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 10 Jan 2024 08:00:00 GMT","{'href': 'https://www.presidency.ucsb.edu', 'title': 'The American Presidency Project'}"
Interpreting Obstruction: The Capitol Riot & Donald Trump - Stanford Law Review,Interpreting Obstruction: The Capitol Riot & Donald Trump  Stanford Law Review,https://news.google.com/rss/articles/CBMinAFBVV95cUxOMWk2bUtWM2RJcFozc1VFUndEb18welktbVQ2WVo3a0xuWUNOOUFDdW93eklXeVdaYUFEaGY1Z21zM3hLc2kzYUpLaERjVXMwcEN0dnFtcV9BVTFmRzNUZ01NWk90OTcwMmZDVmh0Z0JiQ0ZyRnR2ZzAtTGRsNmxuRjF2dk9SMGphWVhEeVF2NVZZRFdGYkRDdUV5aHY?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 06 Jan 2024 08:00:00 GMT","{'href': 'https://www.stanfordlawreview.org', 'title': 'Stanford Law Review'}"
‘Very dangerous’: Zelensky on Trump’s claim he could end Russia-Ukraine war within 24 hours - CNN,‘Very dangerous’: Zelensky on Trump’s claim he could end Russia-Ukraine war within 24 hours  CNN,https://news.google.com/rss/articles/CBMimwFBVV95cUxQVnRmWmFfWVEzcU9iaG82eVBYUkhSZ0hySGdKalVFVmNfTENpNUI5TnkwMFJmTjB0QTYxS3BfdEYyN3huOGstTnk5eXc1Wm9OZWlzNTB1eFItS1Mwd3gtdWQ4ZzlBYXZfT0ZMSHZkMF9NdFFOTzFQSHUzaXNoSUljWFFpRHB0aF9DWEFjRzdSWHF6Y29WeUxicFpMVdIBkgFBVV95cUxPcmpGN2ZWYnN1TUpTNWlORFNhTTVHUnNoM3UxWTZqZmpUckVSNWpkc1Q3dW1CcEtKZ1JEdGN6eG0tdlJwaGo4Q3VMNkpjZEJkSHpfUThGYXpKcjIzbjN5VkZjV1hraWlzR0FGaEpVX0lCX3k0WXZTRGc0R0prSEJ3TXZnZlFuVlFTZ25wRmh4dzBwUQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 20 Jan 2024 08:00:00 GMT","{'href': 'https://www.cnn.com', 'title': 'CNN'}"
Judge denies request to remove Trump from WA presidential primary ballot - Washington State Standard,Judge denies request to remove Trump from WA presidential primary ballot  Washington State Standard,https://news.google.com/rss/articles/CBMivAFBVV95cUxNRUFRQk9ibnVGUF80ZXNiZDFVdE0zQmdQVmJlSTk1OExaV0xaQ3Z4aVV1aWh0ZTJ6X2lOMFJ4UTA0TWZ0S1RZN3VBOFNxUmhRTmZsZnc2c0FCZ3dBQ0hOeTFwUnpmVEVNOWc5R2FWblVGRmtqYTJFMXg3bV83MHg1Wk9fRGtzQ1BTOWdBNm5kMGlCVV9NZ1hESlRhM0JwUE9Cb3gwTzF2T19FRnRsNDZNV05MMkxLWGNaQzBncQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 18 Jan 2024 08:00:00 GMT","{'href': 'https://washingtonstatestandard.com', 'title': 'Washington State Standard'}"
South Carolina Sen. Tim Scott endorses Trump ahead of New Hampshire GOP primary - PBS,South Carolina Sen. Tim Scott endorses Trump ahead of New Hampshire GOP primary  PBS,https://news.google.com/rss/articles/CBMitwFBVV95cUxPclJkMkdCVWxWUGl5VjZyYnpQbXpJN1l0eFpndmxYektNQXRXLXI3SmNUTHhEQ1JZNGpRNnpTY096ZnJrZkZjY3hGRS1hZXJmamVUMzVQRGNBeGpYSThmMHVsNVoyMW1QMmVHZldYMFE3MkZ0REFfM1Q4YTM1TWtfR1FQWmtrS1V1LXRzWUIzcTZSNnRINHRnOWNEQXRNR1Q0WlpRSzJfTUE0eXppV1FpRGhTa3Q0UUk?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 20 Jan 2024 08:00:00 GMT","{'href': 'https://www.pbs.org', 'title': 'PBS'}"
Vanderbilt Unity Poll reveals a Trump conviction could significantly impact centrist voters - Vanderbilt University,Vanderbilt Unity Poll reveals a Trump conviction could significantly impact centrist voters  Vanderbilt University,https://news.google.com/rss/articles/CBMiywFBVV95cUxPaWpmZnhTMm04b2F6Mllnd1VCcnF6M1JveUtReEtITExtY01HX3hNWng1elNnQVZVcHJNNHdmR2dScFZmWEoyS0NLQVBUTHlZTVBmMk1tNW1wdUZBM2hlb3FSaEZhYWhXNTYyUTNqeVR1eHN1cHA3VVlIRGh4azFsN1ZkNGlhU3pranBqaFh4dm9yNWxTNWV5bUV2OFpEMFdyQUw5NmZDWUd5Z0hpekt5Q0xtaWhEZ1V2S09HaUREZHR0bWRackJLVmlOQQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 11 Jan 2024 08:00:00 GMT","{'href': 'https://news.vanderbilt.edu', 'title': 'Vanderbilt University'}"
