date,link,content
08.04.25,https://www.aljazeera.com/tag/donald-trump/,"The ruling says the Trump administration can invoke the law, but deportees have the right to challenge their removal."
08.04.25,https://www.aljazeera.com/news/2017/2/21/profile-donald-trump,"The Donald Trump you first came across depends largely on the decade in which you spent your formative years.

If you were raised in the 1970s, it will be the fledgling New York property developer working on renovating some of the city’s most iconic buildings with what he would later describe as a “small loan of a million dollars” from his father.

In the 80s, the now-accomplished businessman became widely known for his New York Times bestseller, The Art of the Deal, in which he detailed the path to his riches.

OPINION: Donald Trump – The Islamophobia president

The 90s made Trump a fixture of popular culture as the owner of the Miss Universe beauty pageant and a cameo actor in some of the decade’s most popular TV shows and movies, including Home Alone 2, Sex and the City and the Fresh Prince of Bel Air.

By the turn of the millennium, Trump reached global stardom with the TV show The Apprentice. His signature phrase, “You’re fired”, aimed at losing contestants on the show, took on a life of its own as one of the staple catchphrases of the reality TV era.

Advertisement

The jump between business and politics has never been grand, and Trump flirted with the idea of several political candidacies from the 80s onwards.

For two decades from 1988, the property mogul drifted between the Democrats and the Republicans but finally settled on the latter after the election of current US President Barack Obama, towards whom he quickly established a vicious enmity.

Trump helped promulgate conspiracy theories that the US leader had lied about being born in the US, therefore invalidating his right to the presidency.

Despite ready accessibility to evidence that Obama was born in the United States, Trump only accepted this during the later stages of his current run for presidency in 2016.

Trump’s run at the presidency marked an ascent that has defied expectation from political analysts, the media, and rivals in both major US parties alike.

Trump has survived not only the fallout from his populist rhetorical outbursts during the campaign but also revelations dating back decades involving racism, sexual harassment, tax avoidance, among other accusations.

REPORTER’S NOTEBOOK: Donald Trump viewed from Russia

A pledge to ban Muslims from entering the US, calling immigrants from Mexico rapists, attacking the family of a US soldier killed in Iraq, mocking a disabled New York Times reporter, leaks detailing boasts of unsolicited sexual advances in graphic detail – Trump has survived the fallout of all plus more.

Even though most polls gave his Democratic rival Hillary Clinton a slight edge, Trump won because he had the backing of large swaths of the country, for whom he – the self-proclaimed outsider – is a voice of protest against the establishment.

Advertisement

They turned out in enough numbers on Tuesday, especially in key swing states, and brought about the biggest political shock in modern US history."
08.04.25,https://www.aljazeera.com/video/newsfeed/2025/4/7/trump-palestinians-could-live-in-redeveloped-gaza-freedom,"NewsFeed Trump: Palestinians could live in redeveloped Gaza ‘freedom zone’

In an Oval Office meeting with Israeli PM Benjamin Netanyahu, US President Donald Trump again pitched his idea to redevelop the “incredible piece of important real estate” that is the Gaza Strip into what he termed a “freedom zone.” Netanyahu then denied that Israel is the one keeping Palestinians “locked in” the besieged enclave."
08.04.25,https://www.aljazeera.com/news/2025/4/6/over-50-countries-seek-us-trade-talks-after-tariffs-trump-officials,"The tariffs have been widely criticised around the world for threatening to push the global economy into a recession.

More than 50 countries have directly contacted the White House to initiate trade talks following US President Donald Trump’s imposition of wide-ranging punitive tariffs, administration officials have said.

The tariffs, which caused a nearly $6 trillion drop in US stock values last week and battered global markets, have drawn worldwide attention and sparked fears of a potential economic downturn. But the Trump administration has downplayed that and potential further catastrophic economic fallout.

In the meantime, investors nervously awaited the open of US trading after Wall Street’s selloff last week, anticipating another week of turbulence as other nations react. Asian markets will open in the coming hours and expect a rocky day.

In a series of Sunday-morning talk show interviews, Trump’s top economic advisers defended the tariffs, describing them as a strategic move to strengthen the US position in global trade.

Treasury Secretary Scott Bessent revealed that more than 50 nations had begun negotiations with the US since the tariffs were announced on Wednesday, but did not disclose the countries involved.

Advertisement

Bessent claimed the tariffs gave Trump “maximum leverage,” though their impact on the US economy remains uncertain. He dismissed concerns about a recession, citing unexpectedly strong job growth in the US.

Trump’s wide-ranging tariffs came into effect on Saturday.

The initial 10 percent “baseline” tariff took effect at US seaports, airports and customs warehouses, ushering in Trump’s full rejection of the post-World War II system of mutually agreed tariff rates.

A decline in US GDP

Despite this, economists have warned that the tariffs could lead to a decline in US gross domestic product (GDP), with JPMorgan economists revising their growth forecast from a 1.3 percent increase to a 0.3 percent decrease.

The tariffs, aimed at pressuring foreign governments to make concessions, have also triggered retaliatory levies, including hefty ones from China, raising fears of a global trade war.

US allies like Taiwan, Israel, India, and Italy have already expressed interest in negotiating with the US to avoid the tariffs.

Taiwanese leader Lai Ching-te offered zero tariffs as the basis for talks, while Israeli Prime Minister Benjamin Netanyahu sought relief from the 17 percent tariff on Israeli goods.

Meanwhile, the US continues to implement tariffs, with higher “reciprocal” duties expected to take effect on Wednesday.

Critics have raised concerns over the method used to determine the tariffs, especially after they were applied to some remote, uninhabited territories.

Commerce Secretary Howard Lutnick defended the strategy, claiming that it aimed to prevent countries from circumventing the tariffs with loopholes."
08.04.25,https://www.aljazeera.com/news/2025/4/7/trump-claims-direct-us-talks-with-iran-on-nuclear-deal-have-begun,"Tehran confirms talks will happen on Saturday, but at odds with Trump’s claim of direct negotiations.

Iran has said it would hold talks with the United States over its nuclear programme, confirming an earlier announcement by President Donald Trump.

Iranian Foreign Minister Abbas Araghchi wrote on social media late on Monday that “indirect” talks would take place on Saturday. Iranian state media later reported that Araghchi would meet the US envoy to the Middle East, Steve Witkoff, with Oman acting as a mediator.

Earlier, Trump had announced the start of “direct” talks, while maintaining threatening rhetoric suggesting the US could attack Iran. Tehran had earlier dismissed Washington’s calls for the talks.

“We’re having direct talks with Iran, and they’ve started. It’ll go on Saturday. We have a very big meeting, and we’ll see what can happen,” Trump told reporters at the White House on Monday, alongside Israeli Prime Minister Benjamin Netanyahu.

“And I think everybody agrees that doing a deal would be preferable,” he added, without providing further details.

Trump also warned that Iran would be in “great danger” if diplomatic efforts to curb its nuclear ambitions failed, adding that Tehran “can’t have nuclear weapons”.

Advertisement

Earlier this month, Trump told NBC News: “If they [Iran] don’t make a deal, there will be bombing.”

He added that the bombing would be “the likes of which they have never seen before”.

Trump’s announcement of direct talks with Tehran would not be to Netanyahu’s “liking”, as the Israeli leader has long wanted to simply bomb Iran, said Marwan Bishara, Al Jazeera’s senior political analyst.

“Trump has wanted a deal for a long time,” Bishara said. However, “Netanyahu certainly thinks Iran’s defences have been weakened by last year’s Israeli air strikes on Iran. And he sees this as a great opportunity, with US support, for Israel to finish off Iran.”

“In reality, Trump doesn’t want to enter a war with Iran while he is in the midst of trade wars with the rest of the world,” Bishara added.

‘Meaningless talks’

Trump said last month in a letter to Iran’s Supreme Leader Ayatollah Ali Khamenei that he hoped there would be a negotiation between the countries.

Over the weekend, Araghchi had described the prospect of direct talks as “meaningless”.

Tehran, which maintains that it is not seeking a nuclear weapon, has rejected Washington’s push to enter direct negotiations but has previously said it is open to indirect diplomacy.

Iranian media reported on Tuesday that Oman’s Foreign Minister Badr Albusaidi will act as a mediator in the talks. Oman has long acted as a communication channel between the US and Iran.

It also played a crucial role in the signing of the 2015 nuclear agreement between Iran and world powers which placed strict curbs on Tehran’s nuclear activities in exchange for sanctions relief. Trump withdrew from that deal in 2018.

Advertisement

Nournews, affiliated with Iran’s top security body, described Trump’s claim that direct talks were planned as part of a “psychological operation aimed at influencing domestic and international public opinion”.

China, which hosted talks with Iran and Russia over the issue this week, was quick following Tehran’s confirmation to urge Washington to show “sincerity”.

“As the country that unilaterally withdrew from the comprehensive agreement on the Iran nuclear issue and caused the current situation, the US should demonstrate political sincerity [and] … mutual respect,” Ministry of Foreign Affairs spokesperson Lin Jian said.

Iran says its nuclear activities are solely for civilian purposes. Israel, the US’s top ally in the region, is widely believed to have an undeclared nuclear arsenal.

Netanyahu calls for Palestinians to leave Gaza

Speaking next to Netanyahu, who has been issued an arrest warrant by the International Criminal Court (ICC) for alleged war crimes in Gaza, Trump suggested that the war in the Palestinian enclave could end soon.

“I’d like to see the war stop, and I think the war will stop at some point that won’t be in the too-distant future,” Trump told reporters in the Oval Office. However, he did not provide specifics on how or when a ceasefire might be reached.

Netanyahu claimed that Israel was working on a new agreement following January’s temporary ceasefire, which he broke unilaterally in March before unleashing more bombing on Gaza and killing hundreds more Palestinians.

Advertisement

“We’re committed to getting all the hostages out, but also eliminating the evil tyranny of Hamas in Gaza and enabling the people of Gaza to freely make a choice to go wherever they want,” he said.

The Israeli leader also said he had discussed with Trump what he called the US president’s “bold vision” for Gaza, referring to a controversial proposal for US control over the enclave.

The plan, widely condemned as a blueprint for ethnic cleansing, has drawn sharp criticism internationally.

Luciano Zaccara, assistant professor in Gulf politics at Qatar University, said the comments did not reveal any change in policy towards Gaza.

“Both share the belief that fewer people in Gaza is better – for the United States and Israel,” Zaccara told Al Jazeera.

The word “ceasefire” barely came up in the media conference, said Zaccara, adding, “Trump’s main focus was business, trade deficits, and corporate deals, including with Israel. He was not paying much attention to Gaza as a whole, except when discussing expelling Palestinians from their land.”

US looks to mediate between Turkiye and Israel

Turning to Syria, Trump positioned himself as a potential mediator between Israel and Turkiye, despite tensions between Netanyahu and Turkish President Recep Tayyip Erdogan.

“Any problem that you have with Turkey, I think we can solve, as long as you are reasonable,” Trump told Netanyahu.

“I have a very, very good relationship with Turkey and with their leader, and I think we’ll be able to work it out. So I hope that’s not going to be a problem. I don’t think it will be a problem,” added Trump.

Advertisement

Trump, who described Erdogan as “very smart”, praised Turkiye’s role in Syria, referring to the overthrow of leader Bashar al-Assad in December. “Nobody has done in 2,000 years what Turkey has done in Syria,” he said.

Israel, which has carried out extensive air attacks against Syrian military targets, remains wary of Turkiye’s growing influence in Syria.

Israeli officials fear that a permanent Turkish military presence in Syria could limit their operational freedom to attack Syria."
08.04.25,https://www.aljazeera.com/video/newsfeed/2025/4/6/tens-of-thousands-march-in-anti-trump-protests-across-the-us,"Tens of thousands march in anti-Trump protests across the US

NewsFeed Tens of thousands march in anti-Trump protests across the US

Ten of thousands of protesters joined ‘Hands Off’ rallies across the United States to express anger at President Donald Trump and his administration. Many voiced concerns about their jobs and the state of democracy."
08.04.25,https://plus.npr.org/trumpsterms,"What is NPR+ and how does it work?

NPR+ is an audience-support program that provides supporters access to podcast perks like sponsor-free listening, bonus episodes, archive access, and early access to select shows. Once you sign up, you’ll see directions for how to set up these exclusive versions of NPR podcasts on your preferred listening app. By signing up for NPR+ you’ll get access to more from your favorite NPR podcasts and you’ll be supporting NPR and our Network of stations across the country. Standard show listening experiences – without perks – remain free to everyone.

I’m an existing donor to a local station, how do I get access to NPR+?

Receiving the NPR+ bundle as a station donor requires a minimum donation of $8/month or $96/year to a participating NPR+ station or the NPR Network. If you've already heard from your station that they have given you NPR+ benefits, select “Login” at the top of plus.npr.org and sign in using the same email you have on record with your station. You should immediately get an email to login and start using NPR+. While many participating stations may offer this benefit to their existing donors, some stations do not. To inquire about access as an existing donor or if you’re having trouble redeeming your benefits, please reach out directly to your Member station for more information. You can find your local station’s website here.

When will the bundle be available in my area?

We are working hard to get every NPR Member station offering NPR+ in their markets! Thank you for your patience. If your local or preferred station is not yet offering NPR+, we encourage you to contact them to request they offer it (you can find your local station’s website here). If you don’t want to wait for your local station to offer it, you can also choose to enroll via a gift to another station, or to the NPR Network.

Can I give NPR+ as a gift?

Yes! To give NPR+ as a gift, select the product you would like to give. Then select “Buy a gift” to sign up. You can choose to give NPR+ for a duration of six or 12 months. Your gift will expire after the selected time frame, and you will not be charged when that period ends. The recipient of your gift will be prompted to sign up directly to maintain access to NPR+ after your gift period expires.

Which is more beneficial to public media – single show subscriptions, or the NPR+ bundle?

You are free to pick whichever feels right to you! Both singles and the NPR+ bundle directly support the essential work of public media.

Can I change my NPR+ bundle station?

Yes, you can change which station your NPR+ bundle gift supports. You’ll first need to cancel your existing gift and then initiate a new one with the desired station. To do this, first log into your NPR+ account to cancel your existing gift. Then return to plus.npr.org to initiate a new enrollment with your preferred station. Please bear in mind, this will require you to reestablish your NPR+ podcasts in your podcast app.

I’m a PBS Passport member – do I get access to NPR+ too?

If you are supporting a station that offers Passport and NPR+ then you may be eligible to bundle the two programs into a single gift. Please contact your local station directly to inquire. You can find your local station’s website here."
08.04.25,https://www.npr.org/2025/04/08/nx-s1-5355969/trump-trade-official-tariffs-congress,"Trump trade official signals tariffs are negotiating tool amid GOP skepticism

toggle caption Kayla Bartkowski/Getty Images

As market turmoil over President Trump's sweeping tariffs continued to churn, the U.S. trade representative told a Senate panel that the goal of the policy is to negotiate a new series of trade deals.

Jamieson Greer, the U.S. trade representative, said roughly 50 countries reached out to talk with the administration instead of retaliating. That, he suggested, is evidence that Trump's approach is working. But he faced skepticism and questions from Republican lawmakers on the Senate Finance Committee who wanted answers on the broader strategy.

Even the president's allies admitted the mixed messaging coming from the White House was confusing — with some saying Trump's tariffs were a tactic to bring countries to the table to adjust trade imbalances and others saying the tariffs were a longer-term gambit to remake the global trade economy.

Sponsor Message

Tuesday's hearing was the first opportunity for a top Trump official to explain the theory of the case before Congress. Greer assured lawmakers that the goal was to incentivize negotiations.

""As these countries approach us, the idea is that we've had years and years of nonreciprocal access and it's contributed to these trade deficits,"" Greer said, and outlined that if countries present solutions for shifting the dynamic, the message to them is ""we want to negotiate with you.""

He repeatedly pointed to examples of countries like Vietnam and India reaching out.

Later, White House press secretary Karoline Leavitt told reporters that Trump directed his trade team to create ""tailor-made trade deals"" in negotiations with countries seeking tariff cuts.

Leavitt said almost 70 countries have reached out since Trump's bombshell across-the-board tariff announcement last week.

""The president met with his trade team this morning, and he directed them to have tailor-made trade deals with each and every country that calls up this administration to strike a deal,"" she said in a press briefing.

""Each and every one of these trade deals should be tailored and unique based on that country's markets, based on that country's exports, the imports here in the United States of America, what makes the most sense for the American worker and for our industry,"" Leavitt said.

Sponsor Message

On Capitol Hill, Greer made clear that China was taking a much harder line and repeated that Trump's plans to impose new tariffs would go forward as scheduled for midnight. He said China seems ""to be choosing its own path on market access.""

The White House has said tariffs on China are set to rise to at least 104% on Wednesday.

The top Democrat on the committee, Sen. Ron Wyden of Oregon, pointed to retirement funds falling and markets being shut to U.S. goods, saying, ""The U.S. economy has gone from the envy of the world to a laughingstock in less time than it took to finish March Madness.""

Wyden announced he was introducing a bipartisan privileged resolution that would terminate the national emergency Trump invoked to impose his tariffs. Several Democrats co-sponsored the measure, and Republican Sen. Rand Paul of Kentucky also joined the effort. Last week, the Senate approved a similar resolution to undo the tariffs on Canada, with four Republicans joining Democrats. But the House of Representatives has no plans to take up the measure.



Republican skepticism and questions

Top Republican leaders continue to say that the president deserves some time to assess the full impact of his policies. Sen. Chuck Grassley, R-Iowa, has introduced legislation to claw back congressional power over international trade and tariffs that the legislative branch ceded to the executive branch over decades. Grassley repeated his concerns about that dynamic to Greer. But he also said, ""I support President Trump's agenda to lower tariffs and nontariff barriers other countries impose on American goods.""

But several Republicans on the Senate Finance Committee made it clear they were hearing from worried constituents, including business owners unable to plan for supply chain issues.

Republican Sen. James Lankford of Oklahoma pressed Greer for a timeline for the tariffs, but the trade representative declined to specify any target date.

Sponsor Message

Instead, Greer cautioned that the trade deficit was ""decades in the making, but it's not going to be solved overnight.""

Republican Sen. Ron Johnson of Wisconsin, who noted his own experience in the manufacturing sector, told Greer he was disappointed that exclusions for some companies ""are being ruled out right now.""

He said, ""I hope you and the president are very sensitive about companies potentially going bankrupt by these actions.""

And Johnson added, ""We want fair trade, but tariffs are a double-edged sword and, I would argue, a somewhat blunt instrument.""

Another Republican, Sen. Thom Tillis of North Carolina, admitted that he wasn't an expert but that the Trump administration faced a tight window of roughly 14 months for these policies to demonstrate they were working. Tillis, who is running for reelection in 2026, noted that people who voted for the president and for him — mentioning he grew up in a trailer park — would face the possible negative impact, like job losses.

""I wish you well, but I am skeptical,"" Tillis concluded.

Sen. Todd Young, R-Ind., asked Greer to factor in that trade retaliation doesn't fall on everyone evenly, noting that tech companies in New York feel impacts differently from soybean farmers in his home state. ""I hope that's something that's being factored into your analysis.""

Sen. Mark Warner, D-Va., pressed Greer to explain why the administration took the same approach to allies and partners like Canada and Mexico as with adversaries like China.

He reported that he spoke with senior Wall Street executives and that one remarked about the market's gains on Tuesday as ""a good day in hospice.""

As the markets brace for fallout from increased tariffs on China on Wednesday, Senate Majority Leader John Thune, R-S.D., who has cautioned against broad tariffs, noted on Tuesday that Trump ran on the issue in 2024.

Sponsor Message

""Seventy-seven million people voted for him and his agenda, and I think he deserves the opportunity to see what kind of deals he can get from some of our trading partners, and I think most of us are giving him space in which to do that and hope he's successful, because it's not only good for him and his administration but it's good for the country."""
08.04.25,https://www.npr.org/2025/04/08/nx-s1-5355624/world-markets-international-trump-tariffs,"U.S. stocks fall again, wiping out earlier gains as Trump tariff shock remains

toggle caption Michael M. Santiago/Getty Images

U.S. stock markets fell once again on Tuesday, continuing a sell-off that has seen equity markets across the world crater since President Trump's announcement of tariffs.

The losses came after U.S. stocks attempted earlier to rebound after shares in Europe and Asia gained on Tuesday following the tumultuous day on global markets on Monday.

But tariff concerns returned later in the session after the White House confirmed it would proceed with a 104% tariff on China that will kick in on Wednesday.

The Dow Jones Industrial average ended down over 300 points, or 0.8%, after earlier gaining as much as 3.8%. The S&P 500 fell 1.6%, while the Nasdaq ended down a little over 2%.

Sponsor Message

The losses on Tuesday, though not as harsh as in previous few days, will nonetheless add to the value destruction that has already seen trillions of dollars in investor wealth wiped out.



Asia and Eruope rebounded, but uncertainty remains

U.S. investors had earlier been heartened by gains in global markets on Tuesday.

The major stock markets in Hong Kong and Shanghai — the Hang Seng Index and Shanghai Composite, respectively — closed slightly higher on Tuesday, while Tokyo's Nikkei ended the day's trading in Japan up more than 6%. It hit its lowest level in 18 months on Monday, with its listed stocks having lost almost a fifth of value over the past two weeks.

European markets also posted gains on Tuesday, but investors in the continent's major stock markets have also suffered significant losses in the past week, and that's even before exporters have really begun to feel the effects of significant tariffs on European products sold to the United States.

toggle caption Lee Jin-man/AP

As investors seek out assets that can serve as a bulwark against uncertainty in other markets, the price of gold has continued to soar to above $3,000 an ounce, prompting financial analysts to liken the current geopolitical and economic uncertainty to that of the late 1970s and 1980s, when gold prices also spiked significantly.

Sponsor Message

And in light of the uncertainty over the United States' future role on the world stage, analysts say another asset usually considered a safe haven for investors — the dollar — may also continue to weaken against other global currencies.



Countries continue reacting to Trump's tariffs

In China, a number of large, government-backed businesses and listed companies have announced they will buy back their own shares, as part of a wider effort to calm the local equity markets.

Officials in China said Tuesday that they wouldn't back down in the face of Trump's threats to impose a further 50% tariff on Chinese exports to the U.S., saying ""China will fight till the end if the U.S. side is bent on going down the wrong path.""

But other countries have expressed willingness to negotiate, according to the White House. For example, President Trump said on social media on Tuesday that South Korea was sending a team to the U.S. to try to negotiate a deal after the U.S also imposed tariffs last week on the Asian country."
08.04.25,https://www.npr.org/2025/04/08/nx-s1-5355596/iran-us-talks,"Iran insists on 'indirect' talks with the U.S., refuting Trump

toggle caption Office of the Iranian Supreme Leader/AP

TEL AVIV, Israel — Iran says it will have indirect talks with the United States this weekend in Oman, opening a possible path to diplomacy over Iran's nuclear program but revealing a potential sticking point about the format for negotiating.

President Trump said Monday, ""We're having direct talks with Iran."" Speaking in the Oval Office beside Israeli Prime Minister Benjamin Netanyahu, Trump said the U.S. and Iran would have ""a very big meeting"" on Saturday at ""almost the highest level.""

Overnight, Iranian Foreign Minister Abbas Araghchi said on social media: ""Iran and the United States will meet in Oman on Saturday for indirect high-level talks.""

Sponsor Message

On Tuesday, Trump administration officials confirmed the location would be Oman, which neighbors Saudi Arabia, and they reiterated the president's position that these would be ""direct"" talks. State Department spokesperson Tammy Bruce said leading the U.S. team would be envoy Steve Witkoff, who has taken on a broad portfolio of global issues, from Ukraine to Gaza.

During Trump's first term, he withdrew from the 2015 nuclear deal with Iran negotiated by former President Barack Obama and signed by several world powers. As a part of that deal, Iran agreed to limits and inspections on its nuclear development in return for relief from economic sanctions. When Trump withdrew from the deal in 2018, the U.S. imposed tough sanctions and what Trump called ""maximum pressure"" on the country.

An annual U.S. intelligence report made public last month said ""we continue to assess Iran is not building a nuclear weapon.""

Iran's leaders have rejected Trump's offers to engage in direct negotiations. Iranian President Masoud Pezeshkian cited America's ""breach of promises"" and said ""they must prove that they can build trust."" An aide to Supreme Leader Ayatollah Ali Khamenei said Iran was open to indirect talks.

At Monday's press event with Netanyahu, Trump said the deal he wants would be ""different and maybe a lot stronger"" than the previous one he pulled out of.

Sponsor Message

He also issued a warning to Tehran. ""If the talks aren't successful with Iran, I think Iran is going to be in great danger,"" he said.

The Iranian foreign minister responded further in an opinion piece published Thursday in The Washington Post, saying Iran would not yield to threats.

""To move forward today, we first need to agree that there can be no 'military option,' let alone a 'military solution,' "" he said in the op-ed.

""We seek peace, but will never accept submission,"" he wrote. ""The ball is now in America's court."""
