Topic,Title,Date,Source,Sentiment,Sentiment Score,Link
Trump,Starmer ruling 'nothing out' on Trump tariffs as EU prepares 'robust' response,6 minutes ago,BBC,Neutral,0.0,https://www.bbc.com/news/live/c1dr7vy39eet%3Fpage%3D3&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIBhAC&usg=AOvVaw2dlfFY7_07riidNH8vdgqa
Trump,Trump poised to reshape global economy,7 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c99pvll3ne3o&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQICxAC&usg=AOvVaw2kh54dUhjMnMsG2FRi1mb9
Trump,Scotland's papers: Celtic Boys Club abuse and Trump tariffs,0 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c5yg033n3pvo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIChAC&usg=AOvVaw2TrVa8EhiC_VIueGOjOSPD
Trump,Newspaper headlines: 'Trump trade madness' and 'BYD bonanza',2 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/cn0w3npwzxlo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIAxAC&usg=AOvVaw3bp_FQ7EYL2Qo7VQ9eUn38
Trump,"Newsmax: Trump-endorsed news outlet sees 2,200% share surge",3 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c7871277kjgo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIBxAC&usg=AOvVaw2p5QjpZboFvuWdNtn7gZkb
Trump,"Chris Mason: Jitters, uncertainty and hope as UK awaits Trump tariff decision",5 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c1dr5wqdddgo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQICRAC&usg=AOvVaw1cQrI9UMoWONiL1CvttXxl
Trump,What we know about Donald Trump's 'Liberation Day' tariffs,6 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/videos/crrz5y9vwgzo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIARAC&usg=AOvVaw2ZqY566mTCCOYt8LUXXBfq
Trump,The pronatalists who believe Trump's White House is on their side,6 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c5ypdy05jl9o&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIBRAC&usg=AOvVaw0Fhd2RFeWNYm4qPHx_0r30
Trump,Six things that could get more expensive for Americans under Trump tariffs,1 day ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/cvgpvq20qmdo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIAhAC&usg=AOvVaw3-mKkGfBZzrhlXGEUIEWhH
Trump,'Food drops to help those starving were wonderful trips',1 day ago,BBC,Positive,1.0,https://www.bbc.com/news/videos/cwydyq9jdplo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQICBAC&usg=AOvVaw3BvxeCGlKZLQKboyp-xJAK
Trump,,,,Neutral,0.0,https://www.google.com/policies/faq&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4Q2Dx6BAgEEAI&usg=AOvVaw3kqmYfaNhqwYVIj0FE9pRF
Trump,Starmer ruling 'nothing out' on Trump tariffs as EU prepares 'robust' response,6 minutes ago,BBC,Neutral,0.0,https://www.bbc.com/news/live/c1dr7vy39eet%3Fpage%3D3&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIBhAC&usg=AOvVaw2dlfFY7_07riidNH8vdgqa
Trump,Trump poised to reshape global economy,7 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c99pvll3ne3o&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQICxAC&usg=AOvVaw2kh54dUhjMnMsG2FRi1mb9
Trump,Scotland's papers: Celtic Boys Club abuse and Trump tariffs,0 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c5yg033n3pvo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIChAC&usg=AOvVaw2TrVa8EhiC_VIueGOjOSPD
Trump,Newspaper headlines: 'Trump trade madness' and 'BYD bonanza',2 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/cn0w3npwzxlo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIAxAC&usg=AOvVaw3bp_FQ7EYL2Qo7VQ9eUn38
Trump,"Newsmax: Trump-endorsed news outlet sees 2,200% share surge",3 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c7871277kjgo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIBxAC&usg=AOvVaw2p5QjpZboFvuWdNtn7gZkb
Trump,"Chris Mason: Jitters, uncertainty and hope as UK awaits Trump tariff decision",5 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c1dr5wqdddgo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQICRAC&usg=AOvVaw1cQrI9UMoWONiL1CvttXxl
Trump,What we know about Donald Trump's 'Liberation Day' tariffs,6 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/videos/crrz5y9vwgzo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIARAC&usg=AOvVaw2ZqY566mTCCOYt8LUXXBfq
Trump,The pronatalists who believe Trump's White House is on their side,6 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c5ypdy05jl9o&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIBRAC&usg=AOvVaw0Fhd2RFeWNYm4qPHx_0r30
Trump,Six things that could get more expensive for Americans under Trump tariffs,1 day ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/cvgpvq20qmdo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIAhAC&usg=AOvVaw3-mKkGfBZzrhlXGEUIEWhH
Trump,'Food drops to help those starving were wonderful trips',1 day ago,BBC,Positive,1.0,https://www.bbc.com/news/videos/cwydyq9jdplo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQICBAC&usg=AOvVaw3BvxeCGlKZLQKboyp-xJAK
Trump,,,,Neutral,0.0,https://www.google.com/policies/faq&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4Q2Dx6BAgEEAI&usg=AOvVaw3kqmYfaNhqwYVIj0FE9pRF
Trump,"Understanding the scope of Trump’s tariffs so far, in 4 charts",7 hours ago,CNN,Positive,0.1,https://www.cnn.com/2025/04/02/business/canada-mexico-auto-tariffs-trump-dg/index.html&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQIBxAC&usg=AOvVaw1jHITKVZfDhXqsgY8Js39B
Trump,Video: Canadian prime minister explains what ‘makes’ him a liberal as Trump’s tariffs loom,3 hours ago,CNN,Neutral,0.0,https://www.cnn.com/2025/04/01/world/video/canada-mark-carney-what-makes-me-liberal-trump-tariffs-digvid&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQICxAC&usg=AOvVaw0s5WFs8326Of_igVAKSLpS
Trump,‘We’re nice until we’re not’: How Trump’s tariffs threaten Wayne Gretzky’s hometown,4 hours ago,CNN,Positive,0.6,https://www.cnn.com/2025/04/01/americas/wayne-gretsky-trump-trade-war-canada-intl-latam/index.html&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQIChAC&usg=AOvVaw2cNUi52LSoSY_qsufNQpEb
Trump,"March 31, 2025: Donald Trump presidency news",1 day ago,CNN,Neutral,0.0,https://www.cnn.com/politics/live-news/trump-presidency-news-03-31-25/index.html&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQIAhAC&usg=AOvVaw1il5B_nwwkx4MbQ0SBSfGH
Trump,Wall Street is fed up with Trump’s tariffs. Stocks are off to their worst start to a year since 2022,1 day ago,CNN,Negative,-1.0,https://edition.cnn.com/2025/03/31/investing/us-stocks-trump-tariff-uncertainty/index.html&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQIBRAC&usg=AOvVaw1KMFwQYZj8yWsdn5PrzvjL
Trump,Trump Threatens to Bomb Iran - CNN This Morning with Audie Cornish - Podcast on CNN Audio,2 days ago,CNN,Neutral,0.0,https://www.cnn.com/audio/podcasts/cnn-this-morning/episodes/c8fd3266-29c7-11ef-a6be-279374be766c&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQICBAC&usg=AOvVaw0UQoX8KqmSd4l482cDC-Mx
Trump,On GPS: Expert predicts what will happen if Trump imposes sweeping tariffs,2 days ago,CNN,Neutral,0.0,https://edition.cnn.com/2025/03/30/business/video/gps0330-trump-tariffs-froman-economy&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQIAxAC&usg=AOvVaw0SuU4mUHsq1kwqUZTLEcjS
Trump,Greenland’s new leader has a message for Trump: ‘We do not belong to anyone’,2 days ago,CNN,Positive,0.13636363636363635,https://edition.cnn.com/2025/03/31/europe/greendland-trump-us-pushback-intl-hnk/index.html&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQIBhAC&usg=AOvVaw079g046RE4rQpfZAADa4nK
Trump,"March 30, 2025 - President Trump transition news",2 days ago,CNN,Neutral,0.0,https://www.cnn.com/politics/live-news/trump-presidency-news-03-30-25/index.html&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQIBBAC&usg=AOvVaw0Pfy6wuhQKoJKTtzYh5kJy
Trump,"Trump White House plans to shake up briefing room seating, flexing power over press corps",2 days ago,CNN,Neutral,0.0,https://edition.cnn.com/2025/03/30/media/white-house-seating-chart/index.html&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQICRAC&usg=AOvVaw3Ivy0NJEW4uFHDFBw3m7JE
Trump,,,,Neutral,0.0,https://www.google.com/policies/faq&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQ2Dx6BAgBEAI&usg=AOvVaw07hbYQ3GkmCJsCuuc3BHy5
Trump,Starmer ruling 'nothing out' on Trump tariffs as EU prepares 'robust' response,6 minutes ago,BBC,Neutral,0.0,https://www.bbc.com/news/live/c1dr7vy39eet%3Fpage%3D3&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIBhAC&usg=AOvVaw2dlfFY7_07riidNH8vdgqa
Trump,Trump poised to reshape global economy,7 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c99pvll3ne3o&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQICxAC&usg=AOvVaw2kh54dUhjMnMsG2FRi1mb9
Trump,Scotland's papers: Celtic Boys Club abuse and Trump tariffs,0 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c5yg033n3pvo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIChAC&usg=AOvVaw2TrVa8EhiC_VIueGOjOSPD
Trump,Newspaper headlines: 'Trump trade madness' and 'BYD bonanza',2 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/cn0w3npwzxlo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIAxAC&usg=AOvVaw3bp_FQ7EYL2Qo7VQ9eUn38
Trump,"Newsmax: Trump-endorsed news outlet sees 2,200% share surge",3 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c7871277kjgo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIBxAC&usg=AOvVaw2p5QjpZboFvuWdNtn7gZkb
Trump,"Chris Mason: Jitters, uncertainty and hope as UK awaits Trump tariff decision",5 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c1dr5wqdddgo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQICRAC&usg=AOvVaw1cQrI9UMoWONiL1CvttXxl
Trump,What we know about Donald Trump's 'Liberation Day' tariffs,6 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/videos/crrz5y9vwgzo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIARAC&usg=AOvVaw2ZqY566mTCCOYt8LUXXBfq
Trump,The pronatalists who believe Trump's White House is on their side,6 hours ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/c5ypdy05jl9o&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIBRAC&usg=AOvVaw0Fhd2RFeWNYm4qPHx_0r30
Trump,Six things that could get more expensive for Americans under Trump tariffs,1 day ago,BBC,Neutral,0.0,https://www.bbc.com/news/articles/cvgpvq20qmdo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQIAhAC&usg=AOvVaw3-mKkGfBZzrhlXGEUIEWhH
Trump,'Food drops to help those starving were wonderful trips',1 day ago,BBC,Positive,1.0,https://www.bbc.com/news/videos/cwydyq9jdplo&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4QxfQBegQICBAC&usg=AOvVaw3BvxeCGlKZLQKboyp-xJAK
Trump,,,,Neutral,0.0,https://www.google.com/policies/faq&ved=2ahUKEwjEzrn-27mMAxWeGTQIHV81JW4Q2Dx6BAgEEAI&usg=AOvVaw3kqmYfaNhqwYVIj0FE9pRF
Trump,"Understanding the scope of Trump’s tariffs so far, in 4 charts",7 hours ago,CNN,Positive,0.1,https://www.cnn.com/2025/04/02/business/canada-mexico-auto-tariffs-trump-dg/index.html&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQIBxAC&usg=AOvVaw1jHITKVZfDhXqsgY8Js39B
Trump,Video: Canadian prime minister explains what ‘makes’ him a liberal as Trump’s tariffs loom,3 hours ago,CNN,Neutral,0.0,https://www.cnn.com/2025/04/01/world/video/canada-mark-carney-what-makes-me-liberal-trump-tariffs-digvid&ved=2ahUKEwib3oqB3LmMAxXFGTQIHW7BFjsQxfQBegQICxAC&usg=AOvVaw0s5WFs8326Of_igVAKSLpS
