date,title,source,link
30.03.25,Donald Trump | Fox News,FOX News,https://www.foxnews.com/category/person/donald-trump
30.03.25,Trump's First 100 Days | Fox News,FOX News,https://www.foxnews.com/category/politics/elections/presidential/trump-transition
30.03.25,Trump tariff war set to ramp up,ABC News,https://www.goodmorningamerica.com/news/video/trump-tariff-war-set-ramp-120309113
30.03.25,Trump won’t rule out 3rd term: Report,ABC News,https://abcnews.go.com/Politics/video/trump-wont-rule-3rd-term-report-120320104
30.03.25,Donald Trump’s fabulist address,Financial Times,https://www.ft.com/content/72748bd4-b38b-4adf-b0c2-7811159d81d5
30.03.25,Donald Trump Jr: championing the Maga economy,Financial Times,https://www.ft.com/content/cae2d6dc-36b6-4e26-9ab9-aab179121573
30.03.25,The hidden trend behind Latinos’ shift toward Trump,Politico,https://www.politico.com/news/2025/03/30/latino-voters-trump-ticket-splitting-028498
30.03.25,Musk defends million-dollar giveaways in Wisconsin,Politico,https://www.politico.com/news/2025/03/30/musk-defends-million-dollar-giveaways-wisconsin-00260042
30.03.25,Trump's Terms Plus,NPR,https://plus.npr.org/trumpsterms
30.03.25,"U.S. Institute of Peace staff is laid off, escalating legal battle with Trump administration",NPR,https://www.npr.org/2025/03/30/nx-s1-5345012/us-institute-of-peace-staff-laid-off-doge-trump
30.03.25,Donald Trump,BBC,https://www.bbc.co.uk/news/topics/cp7r8vgl2lgt
30.03.25,Starmer and Trump discuss 'productive negotiations' on economic deal,BBC,https://www.bbc.co.uk/news/articles/crrzl1l9w95o
30.03.25,"Trump won’t rule out seeking a third term in the White House, tells NBC News ‘there are methods’ for doing so
Trump did not rule out the possibility of seeking a third term in the White House in an exclusive interview with NBC News.
Mar 30, 2025",NBC,https://www.nbcnews.com/politics/donald-trump/trump-third-term-white-house-methods-rcna198752
30.03.25,"Trump says he’s ‘very angry’ and ‘pissed off’ at Putin during an NBC News interview
Trump said that he was ""angry"" and ""pissed off"" when Russia's President Vladimir Putin criticized Ukraine's President Volodymyr Zelenskyy's credibility.
Mar 30, 2025",NBC,https://www.nbcnews.com/politics/donald-trump/trump-angry-putin-zelenskyy-iran-sanctions-rcna198729
30.03.25,Donald Trump | Today's latest from Al Jazeera,Al Jazeera,https://www.aljazeera.com/tag/donald-trump/
30.03.25,Profile: Donald Trump | Elections News | Al Jazeera,Al Jazeera,https://www.aljazeera.com/news/2017/2/21/profile-donald-trump
30.03.25,"How Trump Connected With So Many Americans

Donald Trump’s campaign was a blend of comedy, fury, optimism, darkness and cynicism. “He gets us,” some voters concluded.

By Shawn McCreesh

PRINT EDITIONSeeing Up Close Why Trump ‘Gets Us’‘|November 8, 2024, Page A1",The New York Times,https://www.nytimes.com/2024/11/06/us/elections/donald-trump-supporters.html?searchResultPosition=1
30.03.25,"Trump Threatens Tariffs Over Immigration, Drugs and Greenland

The president is increasingly threatening other countries with tariffs for issues that have little to do with trade.

By Ana Swanson and Alan Rappeport

PRINT EDITIONTrump Threats Promise Tariffs For Any Cause|January 29, 2025, Page A1",The New York Times,https://www.nytimes.com/2025/01/28/us/politics/trump-tariffs-colombia-canada-greenland.html?searchResultPosition=2
30.03.25,"ASL stream of Donald Trump's presidential inauguration

Watch CBS News Copyright ©2025 CBS Interactive Inc. All rights reserved.

JAN 20, 2025",CBS News,https://www.cbsnews.com/live/cbsnews-3/?intcid=CNM-00-10abd1h
30.03.25,"Trump says he's looking for ways to serve a third term as president

President Trump said Sunday that ""I'm not joking"" about trying to serve a third term, the clearest indication he is considering ways to breach a constitutional barrier against continuing to lead the c

5H AGO",CBS News,https://www.cbsnews.com/sacramento/news/trump-third-term-nbc-interview/?intcid=CNM-00-10abd1h
